stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511ESC,,Easy coach/Uchumi,ND,-1.289218,36.828251,,,,,
0511NYY,,Nyayo,UD,-1.30579,36.827136,,,,
0511IFC,,The office,D,-1.309533,36.828803,,,,
0511CPC,,Capital Centre,D,-1.316765,36.833987,,,,
0511BLV,,Belleview,D,-1.319354,36.838339,,,,
0511PST,,Park side Towers,D,-1.324879,36.847687,,,,
0511PNR,,Panari,D,-1.329531,36.855793,,,,
0501SDG,,Standard Group,ND,-1.330994,36.859842,,,,
0511SMR,,sameer,D,-1.330708,36.863853,,,,
0501GMS,,GM ,ND,-1.329676,36.870983,,,,
0501IMR,,Imara,ND,-1.328381,36.881282,,,,
0511CAB,,Carbanas,ND,-1.332484,36.88952,,,,
0501TFS,,Tuffsteel,ND,-1.337222,36.894932,,,,
0501APJ,,Airport Junction,ND,-1.344124,36.902578,,,,
0501NNL,,Nice N lovely,ND,-1.354464,36.90663,,,,
0511KAP,,Kapa,D,-1.363709,36.910514,,,,
0501NTN,,Nation,ND,-1.372267,36.920297,,,,
0511NTN,,Nation,D,-1.373004,36.92116,,,,
0501MBT,,Mabati,ND,-1.369525,36.917027,,,,
0511SYK,,Syokimau,D,-1.379047,36.927758,,,,
0511ALP,,Allpack,D,-1.382828,36.931458,,,,
0501ALP,,Allpack,ND,-1.384911,36.933262,,,,
0501SYJ,,Tops/Stage ya juu,ND,-1.39112,36.937976,,,,
0511MLL,,Mlolongo ,D,-1.393566,36.939562,,,,
0501SYC,,Petma/Mlolongo Chini,ND,-1.396349,36.941417,,,,
0501MJN,,Mjengo,ND,-1.406255,36.94663,,,,
0501SBK,,Sabaki,ND,-1.420016,36.954022,,,,
0501TOL,,Toll,ND,-1.426369,36.958794,,,,
0511TOL,,Toll,D,-1.427261,36.959651,,,,
0501SHM,,Shalom,ND,-1.435689,36.966667,,,,
0511SHL,,Shell/Kenol,D,-1.447176,36.96833,,,,
0501MLG,,Mlangoni,ND,-1.45005,36.968372,,,,
0501VNL,,Vanillas,ND,-1.451671,36.968198,,,,
0501VLG,,Village,ND,-1.453628,36.967694,,,,
0511EPZ,,EPZ,D,-1.469175,36.960858,,,,
0511TSH,,Tosha,D,-1.470376,36.960409,,,,
0511KIT,,Kitengela,D,-1.477218,36.958032,,,,
0510KIT,,Kitengela,ND,-1.47715,36.957852,,,,
0500EPZ,,Epz,ND,-1.468748,36.96082,,,,
0510EPZ,,EPZ,D,-1.467201,36.961268,,,,
0510VNL,,Vanillas,ND,-1.451535,36.968096,,,,
0500PTL,,Portland,ND,-1.44941,36.968283,,,,
0510SHL,,Shell,D,-1.447511,36.968263,,,,
0500SNR,,Senior,ND,-1.437106,36.966675,,,,
0500SHM,,Shalom,ND,-1.435524,36.966542,,,,
0500TOL,,Toll,ND,-1.427072,36.959096,,,,
0500SBK,,Sabaki,ND,-1.420315,36.953957,,,,
0500KNC,,Kenchik,ND,-1.411761,36.949273,,,,
0500MJN,,Mjengo,ND,-1.406897,36.94665,,,,
0500SLM,,Solomon,ND,-1.398712,36.942261,,,,
0510SLM,,Solomon,D,-1.397388,36.941571,,,,
0500SYC,,Stage ya chini,ND,-1.394802,36.940013,,,,
0510SYC,,stage  ya chini,D,-1.394409,36.939828,,,,
0500SYJ,,Stage ya juu,ND,-1.391432,36.937822,,,,
0500OBT,,Allpack /Orbit,ND,-1.386374,36.933952,,,,
0500SYK,,Syokimau,ND,-1.379645,36.928056,,,,
0500NTN,,Nation,ND,-1.372404,36.920009,,,,
0500MBT,,Mabati,ND,-1.370161,36.917469,,,,
0500KAP,,Kapa,D,-1.365397,36.911998,,,,
0500SKR,,Syokimau railway station,ND,-1.359653,36.907814,,,,
0500RLN,,Reliance,ND,-1.35447,36.906289,,,,
0500APJ,,Airport Junction,ND,-1.346604,36.902371,,,,
0500STM,,Steel markers,ND,-1.337803,36.894404,,,,
0500AAL,,Adopt alight,ND,-1.333549,36.889946,,,,
0500CAB,,Cabarnas,ND,-1.331474,36.88769,,,,
0510GMS,,GM ,D,-1.330225,36.870702,,,,
0500SMR,,Sameer,UD,-1.331001,36.865082,,,,
0500PNR,,Panari,UD,-1.330143,36.855826,,,,
0510ATL,,Airtel,D,-1.325894,36.848591,,,,
0500SHL,,Shell,UD,-1.3216,36.841329,,,,
0510BLV,,Belleview,D,-1.319388,36.837713,,,,
0500NYY,,Nyayo,UD,-1.305704,36.826707,,,,
0510MBR,,Makaburini,D,-1.298529,36.823593,,,,
0710AGH,,Agip,D,-1.291106,36.82344,,,,
0510EAS,,Easy coach/Uchumi,D,-1.288854,36.828734,,,,
