stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211HRT,,Terminal tusker,D,-1.285912,36.827456,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0211PGG,,Pangani Girls,D,-1.26989,36.838241,,,,
0301MBP,,mamba petro station,ND,-1.268941,36.841927,,,,
0301MLG,,mlango,ND,-1.267348,36.843678,,,,
0301KMB,,Karambe,ND,-1.266523,36.853232,,,,
0301SNT,,st teresa,ND,-1.266468,36.847688,,,,
0301ALB,,albadr,ND,-1.266168,36.849023,,,,
0301MAP,,mathare worship,ND,-1.265889,36.85133,,,,
0301BHS,,BH,ND,-1.26582,36.857434,,,,
0311AGP,,Agip,D,-1.263902,36.860826,,,,
0311TEN,,number 10,D,-1.262975,36.863945,,,,
0311THY,,thayo,D,-1.26234,36.865956,,,,
0311CHF,,kwa chief,D,-1.261979,36.86722,,,,
0301BAS,,base,ND,-1.261639,36.871653,,,,
0301FLT,,flats,ND,-1.261766,36.873998,,,,
0311JST,,johnsaga,D,-1.261954,36.873257,,,,
0310JST,,johnsaga,D,-1.261954,36.873257,,,,
0310FLT,,flats,D,-1.261717,36.868798,,,,
0310BAS,,base,ND,-1.262131,36.86737,,,,
0310CHF,,kwa chief,D,-1.262392,36.866339,,,,
0310TEN,,N 10,D,-1.263947,36.861146,,,,
0310FRC,,moi airforces stage,D,-1.265835,36.858775,,,,
0310JAY,,jay community,D,-1.265996,36.852864,,,,
0310SNT,,senty stop,D,-1.266554,36.84766,,,,
0300MLG,,mlango stop,ND,-1.267466,36.843658,,,,
0310PGG,,pangani gals,D,-1.270448,36.836899,,,,
0200GNK,,Guru Nanak,ND,-1.2705997,36.83132,,,,
0210FIG,,Fig Tree,D,-1.2770497,36.82227,,,,
0210KNJ,,Konja,D,-1.281544,36.822518,,,,
0210HRT,,Terminal tusker,D,-1.285912,36.827456,,,,
