stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,,,,,,,,,
04O1CLT,,Caltex,N/D,-1.30084,36.88806,,,,,,,,,,,,,
0401KSD,,Kisumu Ndogo,N/D,-1.29924,36.89012,,,,,,,,,,,,,
0411KSD,,Kisumu Ndogo,D,-1.29909,36.89083,,,,,,,,,,,,,
0411SVN,,savanna,D,-1.29752,36.89387,,,,,,,,,,,,,
0401SVN,,savanna,N/D,-1.2971,36.89441,,,,,,,,,,,,,
0401GNF,,Green field,N/D,-1.29451,36.89626,,,,,,,,,,,,,
0411GNF,,Green field,D,-1.29434,36.89648,,,,,,,,,,,,,
0401HRS,,Harambee sacco,N/D,-1.29262,36.89927,,,,,,,,,,,,,
0411PH5,,Phase 5,D,-1.29185,36.90056,,,,,,,,,,,,,
0401TGS,,Tuskys green span,N/D,-1.29024,36.90175,,,,,,,,,,,,,
0411TGS,,Tuskys green span,D,-1.28955,36.90217,,,,,,,,,,,,,
0401JCN,,Jacaranda,N/D,-1.28752,36.90462,,,,,,,,,,,,,
0411JCN,,Jacaranda,D,-1.287,36.90448,,,,,,,,,,,,,
0401GSE,,Green span estate,N/D,-1.28612,36.90417,,,,,,,,,,,,,
0401BEC,,Bee centre,N/D,-1.28332,36.90282,,,,,,,,,,,,,
0401MSB,,Masimba,N/D,-1.27834,36.90773,,,,,,,,,,,,,
0411MAS,,Masimba,D,-1.27724,36.90837,,,,,,,,,,,,,
0401NYV,,Nyama villa,N/D,-1.27614,36.90885,,,,,,,,,,,,,
0401KDO,,Kwa D.O,N/D,-1.27462,36.91066,,,,,,,,,,,,
0401NYD,,Nyando,N/D,-1.27741,36.91583,,,,
0401PMR,,Prime rose,N/D,-1.27641,36.91665,,,,
0411RST,,Rasta,D,-1.27547,36.91738,,,,
0401MRA,,Maria,N/D,-1.27431,36.91788,,,,
0401SBA,,Sabasaba,N/D,-1.27307,36.9182,,,,
0411KCF,,kwa chief,D,-1.27166,36.91888,,,,
0401GKC,,GOA kayole church,N/D,-1.27105,36.91933,,,,
0400DSL,,Diesel,N/D,-1.26988,36.92002,,,,
0410KCF,,kwa chief,D,-1.27186,36.91872,,,,
0400SBA,,Sabasaba,N/D,-1.27306,36.91822,,,,
0400MRA,,Maria,N/D,-1.27431,36.91784,,,,
0400RST,,Raster,N/D,-1.27537,36.91743,,,,
0410RST,,Raster,D,-1.27588,36.91713,,,,
0400PMR,,Prime rose,N/D,-1.27635,36.91676,,,,
0400PMR,,Nyando,N/D,-1.27736,36.91589,,,,
0400KDO,,Kwa D.O,N/D,-1.274628,36.910548,,,,,,,,,,,,,
0410KDO,,Kwa D.O ,D,-1.27532,36.90987,,,,,,,,,,,,,
0400NYV,,Nyama villa,N/D,-1.2762,36.90886,,,,,,,,,,,,,
0400MSB,,Masimba,N/D,-1.278176,36.907989,,,,,,,,,,,,,
0410MSB,,Masimba,D,-1.27893,36.90723,,,,,,,,,,,,,
0400SOS,,Sosiani,N/D,-1.28138,36.90543,,,,,,,,,,,,,
0400BEC,,Bee centre,N/D,-1.28335,36.90286,,,,,,,,,,,,,
0400GNS,,Green span ,N/D,-1.28596,36.90416,,,,,,,,,,,,,
0400JCN,,Jacaranda,N/D,-1.28765,36.90476,,,,,,,,,,,,,
0410PH8,,Phase 8,D,-1.28871,36.90342,,,,,,,,,,,,,
0400TSK,,Tuskys,N/D,-1.290194,36.901926,,,,,,,,,,,,,
0400PH5,,Phase 5,N/D,-1.29205,36.90041,,,,,,,,,,,,,
0410PS5,,Phase 5,D,-1.29244,36.89991,,,,,,,,,,,,,
0400HRS,,Harambee sacco,N/D,-1.292715,36.89918,,,,,,,,,,,,,
0401EPA,,Epren academy,D,-1.29547,36.89568,,,,,,,,,,,,,
0400EPA,,Epren academy,N/D,-1.29582,36.89553,,,,,,,,,,,,,
0400TMN,,Tumaini,N/D,-1.29728,36.89428,,,,,,,,,,,,,
0400SVN,,savanna,N/D,-1.29775,36.89367,,,,,,,,,,,,,
0400MRS,,Mara savanna,N/D,-1.298668,36.892513,,,,,,,,,,,,,
0400KSD,,Kisumu Ndogo,N/D,-1.299397,36.890125,,,,,,,,,,,,,
0410KSD,,Kisumu Ndogo,D,-1.299596,36.889769,,,,,,,,,,,,,
0400CLT,,Caltex ,N/D,-1.300963,36.888118,,,,,,,,,,,,
