stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211KJT,,Konja,D,-1.281766,36.82276,,,,
0211NGR,,Ngara,D,-1.274601,36.824122,,,,
0211PIO,,KIE/Pioneer,D,-1.271566,36.82825,,,,
0201PGF,,fly over pangani,ND,-1.26701,36.834376,,,,
0201CAL,,caltexDN,,-1.268018,36.833628,,,,
0211GNK,,guru nanak,D,-1.268919,36.83285,,,,
0311PGP,,pangani police post,,-1.270257,36.835758,,,,
0311PGG,,Pangani Girls,D,-1.26989,36.838241,,,,
0301MBP,,mamba petro station,ND,-1.268941,36.841927,,,,
0301MLG,,mlango,ND,-1.267348,36.843678,,,,
0301SNT,,st teresa,ND,-1.266468,36.847688,,,,
0311EST,,eastleigh terminal,D,-1.27225,36.848948,,,,
0310EST,,eastleigh terminal,D,-1.27225,36.848948,,,,
0310SNT,,senty stop,D,-1.266575,36.847649,,,,
0300MLG,,mlango stop,ND,-1.267455,36.843647,,,,
0310PGG,,pangani gals,D,-1.270169,36.837382,,,,
0310PGP,,pangani post,D,-1.27026,36.835553,,,,
0200GNK,,guru nanak,ND,-1.269278,36.832431,,,,
0210NGR,,Ngara,D,-1.274513,36.824497,,,,
0210FIG,,Fig Tree,D,-1.275607,36.823317,,,,
0210KJT,,Konja,D,-1.281766,36.82276,,,,
